energy	step1_	g1_	g2_	g3_
395.0289	0.02313470097429153	7.534322661261456e-39	1.3575035159146164e-56	1.3332155400231761e-49
395.2536	0.02368455709806002	2.1773502103117268e-35	1.4964060325540638e-52	1.2440091466857603e-46
395.4782	0.024260856869935055	4.2945977921782547e-32	1.1544354718538395e-48	9.34216529408152e-44
395.7029	0.024866101516357455	5.820508685567807e-29	6.282943433909004e-45	5.679798784131469e-41
395.9276	0.025502231198338582	5.401818374208163e-26	2.4025090174520195e-41	2.7872681301406356e-38
396.1523	0.02617166472264015	3.43288776577887e-23	6.454688565687283e-38	1.104040342368452e-35
396.3769	0.026876757063580052	1.4899856936171735e-20	1.214423425707489e-34	3.5209309693890036e-33
396.6016	0.027621106162120844	4.440747686872696e-18	1.6108882067970941e-31	9.08711243027437e-31
396.8263	0.028407712619253043	9.062973059920928e-16	1.5013054383727757e-28	1.893017756621495e-28
397.0509	0.029239885092544764	1.2638853668234276e-13	9.803065893478781e-26	3.175952857683995e-26
397.2756	0.030122493715768698	1.209697126622103e-11	4.510768898927727e-23	4.310871034433505e-24
397.5003	0.031059817296980412	7.928411878089775e-10	1.4583025073986938e-20	4.72298329076823e-22
397.7249	0.03205662520824936	3.5525295833456816e-08	3.3047492091719828e-18	4.1685264454224245e-20
397.9496	0.03311971459285186	1.0919471779506566e-06	5.274976780367115e-16	2.975747904901082e-18
398.1743	0.03425536660693031	2.2982969901708153e-05	5.915765997754085e-14	1.7146287731687105e-16
398.399	0.03547123131466034	0.0003312464689058964	4.661329581674025e-12	7.974518567256399e-15
398.6236	0.03677546478765447	0.0032661117628092766	2.5761747947515465e-10	2.988953917301085e-13
398.8483	0.03817929703392331	0.02207651534302263	1.0022109668712051e-08	9.057655160984874e-12
399.073	0.03969380896634719	0.10218110530342679	2.7393742203089325e-07	2.2155050325986103e-10
399.2976	0.0413317670713489	0.32371653533421846	5.254300426195044e-06	4.368519502464721e-09
399.5223	0.04311042775261699	0.7026828093556159	7.090749031513344e-05	6.962311246088988e-08
399.747	0.04504766833988903	1.0444661398554584	0.0006723226110301938	8.956389765823515e-07
399.9716	0.04716448554152441	1.0631710829507837	0.0044754764337247765	9.29054765403174e-06
400.1963	0.04948895024310023	0.7411268796106542	0.02095124702738938	7.787231092842368e-05
400.421	0.05205161677297666	0.35377127337193076	0.068911050413177	0.0005268478425942592
400.6457	0.05489057091457698	0.11563602539123778	0.15924883064071665	0.00287705221840062
400.8703	0.058050857753734295	0.025901817016119415	0.2585308893858116	0.012673736354193013
401.095	0.061592679774145086	0.00397059137279588	0.2949747366796667	0.04509510513308666
401.3197	0.06558629925496104	0.00041679331944831604	0.2364643059018555	0.12951334923421637
401.5443	0.07011990059248417	2.999662041699958e-05	0.13322931733966098	0.30013611092607617
401.769	0.07531293753958748	1.4766999316981807e-06	0.052730947360330294	0.5616497609248586
401.9937	0.08131317060888524	4.977975709447283e-08	0.014663570611302633	0.8483465564171071
402.2184	0.08831757075771503	1.1490895692193367e-09	0.0028649845571915083	1.034287842064685
402.443	0.09658571547958095	1.8198422574586042e-11	0.00039366891685727805	1.0178733171150607
402.6677	0.10648384812506098	1.970104337819693e-13	3.797507809532108e-05	0.8085819549385197
402.8924	0.11850663077040498	1.460445316091086e-15	2.573798927841e-06	0.5184594031822376
403.117	0.13335006327506757	7.431554484130548e-18	1.227386879091671e-07	0.2684193732700021
403.3417	0.15203496638150946	2.5836287685773654e-20	4.1071675124911846e-09	0.11214160446985476
403.5664	0.17600818316541456	6.150651896944015e-23	9.65632213697755e-11	0.037816390014557624
403.791	0.2073128471882221	1.0056110047645422e-25	1.5981466432286968e-12	0.010299732914858037
404.0157	0.24868835852156598	1.122730256406021e-28	1.8551155087455475e-14	0.002263088109527704
404.2404	0.30294773758401056	8.583441010724858e-32	1.5129816994108025e-16	0.0004013630219674825
404.4651	0.3709439106586813	4.493533854697789e-35	8.669714246804228e-19	5.7455769893534136e-05
404.6897	0.4479793045333082	1.6166841174693953e-38	3.499325131374846e-21	6.645507262327937e-06
404.9144	0.5236821268667997	3.9692288163935026e-42	9.90011875281205e-24	6.198500268559357e-07
405.1391	0.5885567395069984	6.673100883401443e-46	1.9679085014261104e-26	4.666652979050367e-08
405.3637	0.639511067205055	7.713994898030612e-50	2.756655115656051e-29	2.8395321345992336e-09
405.5884	0.6782152890971159	6.082124065744426e-54	2.7054027846995113e-32	1.3929254313120387e-10
405.8131	0.7075556233334538	3.2837629110219626e-58	1.865476661239315e-35	5.515302567163514e-12
406.0378	0.7301028495927921	1.2140285578734402e-62	9.037662037794402e-39	1.7626708118863967e-13
406.2624	0.7477512925039455	3.0882243597115e-67	3.0875092046106466e-42	4.554713745327954e-15
406.4871	0.7618479361259388	5.354517305326949e-72	7.385153690326927e-46	9.484733986415089e-17
406.7118	0.7733080026116657	6.3572955129804076e-77	1.2411355177360286e-49	1.5942250087448086e-18
406.9364	0.7827743318668234	5.195972503736478e-82	1.4715309095776766e-53	2.1671365882420465e-20
407.1611	0.790714999407966	2.893165582371663e-87	1.2209954766610809e-57	2.3734109630468945e-22
