energy	step1_	g1_	g2_	g3_
395.0289	0.023134697824619264	7.503440123100175e-39	1.4255870662567396e-56	1.3244649759788747e-49
395.2536	0.023684554157635766	2.1692698710829743e-35	1.5658361711787893e-52	1.2363218387951668e-46
395.4782	0.024260854162876936	4.280242879249448e-32	1.2038445969772871e-48	9.28791492410097e-44
395.7029	0.024866099069862264	5.80308793206755e-29	6.530197017669331e-45	5.648866995659814e-41
395.9276	0.02550222904277886	5.387435446426358e-26	2.4891420656542543e-41	2.7730633732067246e-38
396.1523	0.02617166289213125	3.4248156360343496e-23	6.667156170515544e-38	1.0987871326152607e-35
396.3769	0.026876755596358347	1.4869169998360713e-20	1.2507653765248951e-34	3.5053273044145875e-33
396.6016	0.027621105101680452	4.432813091051185e-18	1.6545125896600623e-31	9.049704618907281e-31
396.8263	0.02840771201463166	9.049077399103432e-16	1.5379132740045644e-28	1.885799678399092e-28
397.0509	0.029239884999135594	1.2622435133285265e-13	1.0017110067820388e-25	3.164770034602599e-26
397.2756	0.030122494197083988	1.2083857785041732e-11	4.5984079445979444e-23	4.296901212130581e-24
397.5003	0.031059818425262394	7.921369164829073e-10	1.4833378937623186e-20	4.708948115657652e-22
397.7249	0.03205662706587493	3.5500004955336944e-08	3.3544866643387307e-18	4.1572112658182945e-20
397.9496	0.03311971727517314	1.091341415111418e-06	5.343944586286518e-16	2.968401823968347e-18
398.1743	0.034255370223569094	2.297338810358585e-05	5.982261128236268e-14	1.7107975075509357e-16
398.399	0.03547123599255244	0.00033114763107664386	4.7058310409803295e-12	7.95847493470828e-15
398.6236	0.03677547067383609	0.0032654610873939284	2.596769635005568e-10	2.983570922915551e-13
398.8483	0.03817930430132227	0.02207388068650655	1.0088060305430529e-08	9.043148613360373e-12
399.073	0.03969381781737325	0.10217509703611284	2.753908199241222e-07	2.2123727209741177e-10
399.2976	0.041331777743992375	0.32371083399344086	5.2762082773964926e-06	4.363112365876082e-09
399.5223	0.04311044053108493	0.7026858002263938	7.113232465128414e-05	6.954839031037362e-08
399.747	0.045047683562631835	1.0444732228055666	0.0006738754219092983	8.948146639371112e-07
399.9716	0.047164503613963626	1.0631604242816086	0.004482573985674352	9.283308545635888e-06
400.1963	0.04948897165880362	0.7410926559115109	0.02097216968425298	7.782172498332966e-05
400.421	0.05205164213264081	0.3537353050884513	0.06894881446550698	0.0005265677365450553
400.6457	0.05489060095722199	0.11561561546997948	0.1592860662891592	0.0028758283681552706
400.8703	0.058050893394216006	0.02589480750368439	0.2585453626650369	0.012669543850443839
401.095	0.061592722165394714	0.003969066265400726	0.2949789451539554	0.04508392874181517
401.3197	0.06558634985596856	0.00041657787731674427	0.23649002526242163	0.12949048431976706
401.5443	0.07011996127055452	2.9976554226001253e-05	0.13327453347106066	0.3001010123709213
401.769	0.07531301073289677	1.4754589712824694e-06	0.05276819782169438	0.5616110175915567
401.9937	0.081313259528154	4.9728430818397296e-08	0.014681312973117509	0.848318821258085
402.2184	0.08831767970458268	1.147663483264781e-09	0.0028702853580651745	1.0342794859835551
402.443	0.09658585030163065	1.8171667031709445e-11	0.0003947030975318114	1.0178782609798531
402.6677	0.10648401695819075	1.966718274561333e-13	3.810956529886815e-05	0.808586908499994
402.8924	0.11850684508450682	1.4575441751487542e-15	2.585621789778617e-06	0.5184571842124387
403.117	0.13335033949123404	7.414660130031284e-18	1.2344850530318797e-07	0.26841230078269834
403.3417	0.15203532837238806	2.576964267025562e-20	4.13637706762564e-09	0.11213486489429808
403.5664	0.1760086653775437	6.132784925655135e-23	9.739170102768354e-11	0.037812399554557515
403.791	0.20731349737528232	1.0023434865276287e-25	1.6144260845874215e-12	0.010298058295997635
404.0157	0.2486892348901622	1.1186738474738005e-28	1.8772550321049507e-14	0.0022625645499396644
404.2404	0.30294888378770973	8.54914312771689e-32	1.5338960607506133e-16	0.0004012378876985683
404.4651	0.37094528912630387	4.4737723492199444e-35	8.807164959608605e-19	5.743256561281002e-05
404.6897	0.44798073165928426	1.6088939523425321e-38	3.562406391646734e-21	6.642134231009385e-06
404.9144	0.5236833545725214	3.9483558490462864e-42	1.0101524970916078e-23	6.194638795698421e-07
405.1391	0.5885576324695937	6.6349452698673124e-46	2.0127876817944943e-26	4.663152870614307e-08
405.3637	0.6395116324689899	7.666200943052179e-50	2.826706217961509e-29	2.837008737450926e-09
405.5884	0.67821559320004	6.04141724930925e-54	2.781601936986043e-32	1.3914781668055852e-10
405.8131	0.7075557347397395	3.26009048343557e-58	1.9234319672565846e-35	5.508678723309891e-12
406.0378	0.7301028214038856	1.20462720515981e-62	9.346009605586149e-39	1.7602478273120573e-13
406.2624	0.747751162555924	3.0625995959012605e-67	3.2027279301507734e-42	4.547609449301617e-15
406.4871	0.7618477307083665	5.307021029942031e-72	7.685510535192396e-46	9.468072853641976e-17
406.7118	0.7733077401576338	6.297143446599894e-77	1.2959640101101258e-49	1.5910921998706985e-18
406.9364	0.7827740254789995	5.143638707862345e-82	1.5419210698275901e-53	2.1624012296889162e-20
407.1611	0.7907146585234821	2.862205477585582e-87	1.2840609641040935e-57	2.3676750266779087e-22
